"TICKER","date","SICCD","COMNAM","market_cap","SHROUT","VOL","PRC","ASKHI","BIDLO","total","negative","positive","sprtrn","RET","next_month_return","last_month_return","last_month_volume","X1_month_ma","X2_month_ma","X3_month_ma","proper","Ask_minus_Bid","comp_size","dummy_negative","dummy_positive","dummy_total","move_avg_2","move_avg_3","lasso_pred","pred_forest","log_pred"
"AMZN","2023-06-30",7370,"AMAZON COM INC",0.24024742587222,-0.719902274317025,0.0200811044269825,0.265401107676277,0.12027160362218,0.373915264130428,20,3,1,1.07577584397614,0.314097735566466,0.0254678376944686,0.973246609159533,0.592746945301075,0.265401107676277,-0.113441676894882,-0.443995567485219,"1",-1.18544639697723,"9","1","1","1","0","0",0.0238440773594694,0.0759029545996895,"Positive"
"AMZN","2023-07-31",7370,"AMAZON COM INC",0.497757554958907,0.657921033824125,-0.673418707687741,0.494830744901779,0.405330044713211,0.678142877061948,15,4,2,0.284613141791573,-0.328076181608602,0.0323901268110498,0.285989871643908,-0.113652746483836,0.494830744901779,0.417528149142909,0.116848149484523,"1",-1.37429450846792,"9","1","1","1","0","0",0.0238440773594694,-0.0494898298776144,"Positive"
"AMZN","2023-08-31",7370,"AMAZON COM INC",0.737684602423249,0.740059435014123,-0.690077814683022,0.737012771813228,0.790934401590527,0.70330455933448,24,0,8,-0.866188746478157,-0.24818243041583,-0.0789077333134649,-0.327075924725531,-0.850108616341936,0.737012771813228,0.67407931510565,0.597808917170539,"1",0.1101324042109,"9","0","1","1","0","0",0.0238440773594694,-0.0219037543497277,"Positive"
"AMZN","2023-09-30",7370,"AMAZON COM INC",0.734909757778151,0.756349337968561,-0.333191390980636,0.733798230152557,0.914128740257151,0.53200179315583,24,0,4,-1.59645933024096,-1.53272911653685,0.0469614288757572,-0.250803555372065,-0.867799604744452,0.733798230152557,0.80407480001475,0.782730324950911,"0",1.39197941925042,"9","0","1","1","1","1",0.0238440773594694,0.0662365153340028,"Positive"
"AMZN","2023-10-31",7370,"AMAZON COM INC",0.379648661956741,1.11459215801606,-0.371617276715646,0.363540148943096,0.285450904370975,0.293601207583761,26,1,3,-0.966603310481685,-0.0800074290389125,0.0976789522886352,-1.47712498643358,-0.488807286337295,0.363540148943096,0.600910111482637,0.730897295523551,"0",-0.139369961216435,"9","1","1","1","1","1",0.0238440773594694,0.0848367418342244,"Positive"
"AMZN","2023-11-30",7370,"AMAZON COM INC",1.15327765667302,1.17307375471136,-1.15279525887849,1.14832659092981,1.10195812120923,1.07437634156944,16,0,6,1.65173251507886,0.505349976354076,0.0400460902513506,-0.090251501806701,-0.529613309078312,1.14832659092981,0.826408635732763,0.89328243159879,"1",-0.272137265799157,"9","0","1","1","0","0",0.0238440773594694,0.0144582393476525,"Positive"
"AVGO","2023-03-31",9999,"BROADCOM INC",-0.980748097367768,1.21719881006876,-0.0381597501163255,-0.991369906029304,-1.12512592229879,-1.06677461124565,10,0,2,0.376808975418333,0.211906577858593,-0.0234448596841562,-0.381113208062992,-0.908119511559158,-0.991369906029304,-1.19769674124535,-1.41679099879137,"1",-0.694277722725485,"2","0","1","1","0","0",0.0238440773594694,-0.0494898298776144,"Positive"
"AVGO","2023-04-30",9999,"BROADCOM INC",-0.985092487154687,1.13940694108492,-1.25103771477901,-0.994133723690844,-1.14944827159825,-0.934472426894627,3,0,0,-0.103955782724765,-0.871145264185133,0.289639862590678,0.364320150566685,0.263918865998894,-0.994133723690844,-1.08586520772339,-1.28448317046342,"0",-0.943955164281545,"2","0","0","1","0","0",0.0238440773594694,-0.0359148178586765,"Positive"
"AVGO","2023-05-31",9999,"BROADCOM INC",-0.737631825475017,-0.351489803778309,0.677835851306074,-0.721283161898165,0.433369688661436,-0.949482165949349,2,0,0,-0.390382808037568,2.19060648730898,0.0794302280042614,-0.791237106150707,-1.50848274461636,-0.721283161898165,-0.935122544443296,-1.08914558839664,"1",2.32220464755444,"3","0","0","1","0","0",0.0238440773594694,0.0601779215796103,"Positive"
"AVGO","2023-06-30",9999,"BROADCOM INC",0.335185580474579,-0.925562790419722,1.08759545137662,0.349921824576772,0.251846145037328,0.405185623373484,9,0,2,1.07577584397614,0.134901845448749,0.0359939491571628,2.4754850555788,1.3102168400143,0.349921824576772,-0.184969057295937,-0.535481937674329,"1",-0.0959348605532498,"4","0","1","1","0","0",0.0238440773594694,0.041387676286695,"Positive"
