TICKER,date,SICCD,COMNAM,market_cap,SHROUT,VOL,PRC,ASKHI,BIDLO,total,negative,positive,sprtrn,RET,next_week_return,last_week_return,last_week_volume,2_week_ma,3_week_ma,4_week_ma,proper?,Ask_minus_Bid,comp_size,dummy_negative,dummy_positive,dummy_total
AAPL,2023-09-04,3571.0,APPLE INC,0.846866858584221,-0.4818182452173725,-0.3070885593643726,0.8354349133706043,0.7962575078096497,0.6043713316716047,0.0,0.0,0.0,0.7823918598208168,1.5162492857000425,-0.053307812204899996,0.5683136424141977,-0.8339353890552509,0.5990178714264414,0.4594824546784621,0.4371573309377038,True,0.9256596637202866,9,0,0,0
AAPL,2023-09-11,3571.0,APPLE INC,0.5030539364785794,-0.4818182452173725,1.0949088742741466,0.5068245255465231,0.7997676092833996,0.26718056400426604,1.0,0.0,0.0,-0.5824326762668005,-2.148295185278006,-0.007751270930945631,1.4954559931255609,-0.34579128274316795,0.6835797195978659,0.5810034252167682,0.4840791855697346,True,2.828640606944803,9,0,0,1
AAPL,2023-09-18,3571.0,APPLE INC,0.16146029512592738,-0.4818182452173725,1.866361899966506,0.1803352875165316,0.22352595067612463,0.26944415124898174,8.0,0.0,5.0,-0.6534112245361953,-0.5545910509054349,-0.010618814338062221,-2.141256969442036,1.0820306558476782,0.3427976761593632,0.5218157399606843,0.48692682635139223,False,-0.2976831962216188,9,0,1,1
AAPL,2023-09-25,3571.0,APPLE INC,0.16301941691742544,-0.4818182452173725,-0.28531056282290584,0.18182546890189577,0.1980783000083502,0.28528530167437616,0.0,0.0,0.0,-1.6690983125812426,-0.6549062999479976,-0.013231349617368715,-0.5596567105636331,1.8676936879241266,0.17373355481362188,0.2858305487209924,0.44107281678753274,False,-0.5236981604153816,9,0,0,0
AAPL,2023-10-02,3571.0,APPLE INC,-0.1149714700830483,-0.8112680359271133,-0.04665858456045335,-0.06258296431705503,-0.06488738708365925,-0.06774605066298449,0.0,0.0,0.0,-0.8591014661261226,-0.7463006016090278,0.03015786755852501,-0.6592100846393246,-0.3236121399755791,0.04736777015845113,0.08024640894774684,0.18758139966367346,False,0.027909347897286215,9,0,0,0
AAPL,2023-10-09,3571.0,APPLE INC,0.08345043676926694,-1.3054427219917153,-0.6933619859161899,0.15992969580988803,0.16034412414862736,0.11329623423975156,1.0,0.0,0.0,0.36659292392581094,0.77158405044522,-0.001508931396203117,-0.7499102642081027,-0.08056424125945885,0.03597761513091286,0.07287898563095986,0.08966034021961834,False,0.23337720979229296,9,0,0,1
AAPL,2023-10-16,3571.0,APPLE INC,0.3103514230008564,-1.3054427219917153,-0.6732804389577348,0.37797158250442947,0.3528146882925798,0.43520990958791334,0.0,0.0,0.0,0.24223098095596055,-0.3362153347848559,-0.03200566940992333,0.7564463466955166,-0.7391797865252276,0.2651535645389375,0.1436973902931532,0.14544887821687316,False,-0.5252787067460456,9,0,0,0
AAPL,2023-10-23,3571.0,APPLE INC,0.04694404268068125,-1.2949100042290629,-0.023607086936854444,0.12416247660727844,0.12348805867425201,0.06294287459114664,4.0,0.0,1.0,-2.2034324242634886,-1.4030824870796306,-0.015666518133977014,-0.34293951588493654,-0.7187283415937548,0.2465474998017051,0.21112168925732933,0.1291718374189729,True,0.3155719411726691,9,0,1,1
AAPL,2023-10-30,3571.0,APPLE INC,-0.24297812739059743,-1.2791109275850936,-0.2136284270741439,-0.15543998503600592,-0.1543949746642818,-0.1780683482684105,0.0,0.0,0.0,-0.8920352691594307,-0.8314900831694153,0.05249900023117071,-1.4017040179438955,-0.057088139781205055,-0.03093256094962912,0.09725770660617239,0.10296026818768288,False,0.160675239673932,9,0,0,0
AAPL,2023-11-06,3571.0,APPLE INC,0.09409120795250624,-1.2791109275850936,0.42098650656705183,0.16841280469022485,0.1825741817987973,-0.05190546599296257,7.0,0.0,3.0,2.3848884845803413,1.5531437235742644,0.03240398112809184,-0.8344527480880671,-0.2506096339998667,-0.007913593098335218,0.021596669763843133,0.10535487006045417,False,1.2765409491299844,9,0,1,1
AAPL,2023-11-13,3571.0,APPLE INC,0.572908639008039,-1.2791109275850936,-0.21247427127703394,0.628455723334954,0.5999843337358016,0.5743862969378225,0.0,0.0,0.0,0.33439196644528835,0.8501598242416287,0.03598522929468495,1.5320702248606222,0.39569477645734946,0.39986801873368955,0.2036713617332185,0.17606123504917512,True,0.03265098688931377,9,0,0,0
AAPL,2023-11-20,3571.0,APPLE INC,0.9067564267213155,-1.2791109275850936,-0.4803289127474624,0.9492132828584915,0.912383364899543,0.9890849848597543,6.0,0.0,0.0,1.451393142508094,0.9754426014171801,-0.008671412989228577,0.8344253526462648,-0.24943421888987707,0.8060394955087559,0.6025055812869594,0.40895559413958904,True,-0.5964064527190583,9,0,0,1
AAPL,2023-11-27,3571.0,APPLE INC,0.9764073304982609,-1.2791109275850936,-1.8728175729092336,1.0161331629245798,0.9723470133925249,1.136180815911615,2.0,0.0,0.0,-0.20159145032123713,-0.5867803734810276,-0.0018977520707610385,0.9587566312947111,-0.5222226878760985,1.0077088368491953,0.9085743698405376,0.7396658671972951,True,-1.0942785468814575,9,0,0,1
AAPL,2023-12-04,3571.0,APPLE INC,0.9555567881676857,-1.2791109275850936,-1.2265721537853347,0.9961001738833556,0.9232061777769386,1.0542090857692943,1.0,0.0,1.0,-0.004986013254277331,-0.3498174454641134,0.019795726809948233,-0.591601561443198,-1.9403607033345343,1.0320993415958601,1.0413121182086005,0.9733044721352464,True,-0.9017996147319403,9,0,1,1
AAPL,2023-12-11,3571.0,APPLE INC,1.1764120143123782,-1.2791109275850936,-0.4440682959357803,1.2082956292776335,1.1513633585875949,1.2085975035705605,0.0,0.0,0.0,0.3940383569217358,0.40908536002337276,0.014028155272733711,-0.356438321157269,-1.2822115762393078,1.132062027226464,1.1348536017106419,1.1369809902919326,True,-0.5315977309760836,9,0,0,0
