PERMNO,date,SICCD,TICKER,COMNAM,HSICIG,BIDLO,ASKHI,PRC,VOL,RET,SHROUT,NUMTRD,RETX,sprtrn,enterdate,positive,negative,total,market_cap
92655,2023-06-27,6324,UNH,UNITEDHEALTH GROUP INC,,477.76999,483.17999,482.56,3693167.0,0.007306,931032.0,,0.007306,0.011456,,0.0,0.0,0.0,449278801.92
92655,2023-06-28,6324,UNH,UNITEDHEALTH GROUP INC,,473.98001,482.12,474.45001,3670111.0,-0.016806,931032.0,,-0.016806,-0.000354,,0.0,0.0,0.0,441728141.71032
92655,2023-06-29,6324,UNH,UNITEDHEALTH GROUP INC,,473.07999,479.70999,476.44,2979403.0,0.004194,931032.0,,0.004194,0.004474,,0.0,0.0,0.0,443580886.08
92655,2023-06-30,6324,UNH,UNITEDHEALTH GROUP INC,,475.12,482.10001,480.64001,3970398.0,0.008815,931032.0,,0.008815,0.012269,,0.0,0.0,0.0,447491229.79032004
92655,2023-07-03,6324,UNH,UNITEDHEALTH GROUP INC,,476.29999,480.20999,477.88,1915740.0,-0.005742,931032.0,,-0.005742,0.001171,,0.0,0.0,0.0,444921572.15999997
92655,2023-07-05,6324,UNH,UNITEDHEALTH GROUP INC,,470.59,477.29001,471.22,5053717.0,-0.013937,931032.0,,-0.013937,-0.001968,,0.0,0.0,0.0,438720899.04
92655,2023-07-06,6324,UNH,UNITEDHEALTH GROUP INC,,466.64999,472.39999,469.35999,3914139.0,-0.003947,931032.0,,-0.003947,-0.007923,2023-07-06,0.0,0.0,1.0,436989170.20967996
92655,2023-07-07,6324,UNH,UNITEDHEALTH GROUP INC,,460.82001,468.60999,461.57999,4131582.0,-0.016576,931032.0,,-0.016576,-0.002865,,0.0,0.0,0.0,429745741.24968
92655,2023-07-10,6324,UNH,UNITEDHEALTH GROUP INC,,459.1601,463.10001,463.04999,4339421.0,0.003185,931032.0,,0.003185,0.002405,,0.0,0.0,0.0,431114358.28968
92655,2023-07-11,6324,UNH,UNITEDHEALTH GROUP INC,,461.14001,466.48999,462.89001,3087467.0,-0.000345,931032.0,,-0.000345,0.006742,,0.0,0.0,0.0,430965411.79032004
92655,2023-07-12,6324,UNH,UNITEDHEALTH GROUP INC,,451.25,464.82001,451.70001,7287591.0,-0.024174,931032.0,,-0.024174,0.007411,,0.0,0.0,0.0,420547163.71032
92655,2023-07-13,6324,UNH,UNITEDHEALTH GROUP INC,,447.17999,454.89999,447.75,7276840.0,-0.008745,931032.0,,-0.008745,0.00847,,0.0,0.0,0.0,416869578.0
92655,2023-07-14,6324,UNH,UNITEDHEALTH GROUP INC,,460.10999,485.0,480.17001,11379333.0,0.072407,931032.0,,0.072407,-0.001024,2023-07-14,0.0,0.0,3.0,447053644.75032
92655,2023-07-17,6324,UNH,UNITEDHEALTH GROUP INC,,478.29999,484.60001,484.07999,4582703.0,0.008143,931032.0,,0.008143,0.003855,,0.0,0.0,0.0,450693961.24968
92655,2023-07-18,6324,UNH,UNITEDHEALTH GROUP INC,,487.5,504.42001,500.0,8817931.0,0.032887,931032.0,,0.032887,0.007117,,0.0,0.0,0.0,465516000.0
92655,2023-07-19,6324,UNH,UNITEDHEALTH GROUP INC,,502.48001,514.65503,503.70001,4956477.0,0.0074,931032.0,,0.0074,0.002358,,0.0,0.0,0.0,468960827.71032
92655,2023-07-20,6324,UNH,UNITEDHEALTH GROUP INC,,500.52499,508.67999,504.23999,2963123.0,0.001072,931032.0,,0.001072,-0.006757,,0.0,0.0,0.0,469463566.36968
92655,2023-07-21,6324,UNH,UNITEDHEALTH GROUP INC,,504.51999,510.405,506.53,2887339.0,0.004542,931032.0,,0.004542,0.000324,,0.0,0.0,0.0,471595638.96
92655,2023-07-24,6324,UNH,UNITEDHEALTH GROUP INC,,504.565,509.78,508.67999,2278967.0,0.004245,931032.0,,0.004245,0.004034,2023-07-24,0.0,1.0,1.0,473597348.44968
92655,2023-07-25,6324,UNH,UNITEDHEALTH GROUP INC,,507.27499,512.5,510.92999,2730622.0,0.004423,931032.0,,0.004423,0.002815,,0.0,0.0,0.0,475692170.44968
92655,2023-07-26,6324,UNH,UNITEDHEALTH GROUP INC,,506.63,515.85999,508.0,3697182.0,-0.005735,931032.0,,-0.005735,-0.000155,,0.0,0.0,0.0,472964256.0
92655,2023-07-27,6324,UNH,UNITEDHEALTH GROUP INC,,503.13,510.5,505.23001,3028276.0,-0.005453,931032.0,,-0.005453,-0.006425,,0.0,0.0,0.0,470385306.67032
92655,2023-07-28,6324,UNH,UNITEDHEALTH GROUP INC,,497.28,507.48001,502.91,2930900.0,-0.004592,931032.0,,-0.004592,0.009878,,0.0,0.0,0.0,468225303.12
92655,2023-07-31,6324,UNH,UNITEDHEALTH GROUP INC,,499.06,507.88,506.37,2441688.0,0.00688,931032.0,,0.00688,0.001469,,0.0,0.0,0.0,471446673.84000003
92655,2023-08-01,6324,UNH,UNITEDHEALTH GROUP INC,,502.48999,510.04001,504.73999,2161660.0,-0.003219,931032.0,,-0.003219,-0.002665,,0.0,0.0,0.0,469929082.36968
92655,2023-08-02,6324,UNH,UNITEDHEALTH GROUP INC,,502.98999,510.47,504.79999,3221607.0,0.000119,931032.0,,0.000119,-0.01384,,0.0,0.0,0.0,469984944.28968
92655,2023-08-03,6324,UNH,UNITEDHEALTH GROUP INC,,501.04001,506.0,504.85999,2443050.0,0.000119,931032.0,,0.000119,-0.002548,,0.0,0.0,0.0,470040806.20967996
92655,2023-08-04,6324,UNH,UNITEDHEALTH GROUP INC,,501.75,510.89499,502.73001,2411227.0,-0.004219,931032.0,,-0.004219,-0.0053,,0.0,0.0,0.0,468057726.67032
92655,2023-08-07,6324,UNH,UNITEDHEALTH GROUP INC,,504.6456,513.59998,510.73999,2430910.0,0.015933,931032.0,,0.015933,0.009024,,0.0,0.0,0.0,475515274.36968
92655,2023-08-08,6324,UNH,UNITEDHEALTH GROUP INC,,500.01999,508.16501,505.85999,2422671.0,-0.009555,931032.0,,-0.009555,-0.004218,,0.0,0.0,0.0,470971838.20967996
92655,2023-08-09,6324,UNH,UNITEDHEALTH GROUP INC,,500.88,505.7319,502.10999,1917137.0,-0.007413,931032.0,,-0.007413,-0.007039,,0.0,0.0,0.0,467480468.20967996
92655,2023-08-10,6324,UNH,UNITEDHEALTH GROUP INC,,502.78,512.0351,503.48001,2179754.0,0.002729,931032.0,,0.002729,0.000251,,0.0,0.0,0.0,468756000.67032
92655,2023-08-11,6324,UNH,UNITEDHEALTH GROUP INC,,504.25259,510.67001,508.01001,2029635.0,0.008997,931032.0,,0.008997,-0.00107,,0.0,0.0,0.0,472973575.63032
92655,2023-08-14,6324,UNH,UNITEDHEALTH GROUP INC,,508.25,513.5,510.92999,2127417.0,0.005748,931032.0,,0.005748,0.00575,,0.0,0.0,0.0,475692170.44968
92655,2023-08-15,6324,UNH,UNITEDHEALTH GROUP INC,,506.26999,513.65002,506.69,1817631.0,-0.008299,931032.0,,-0.008299,-0.011551,,0.0,0.0,0.0,471744604.08
92655,2023-08-16,6324,UNH,UNITEDHEALTH GROUP INC,,502.82999,510.5,503.56,1454137.0,-0.006177,931032.0,,-0.006177,-0.007555,,0.0,0.0,0.0,468830473.92
92655,2023-08-17,6324,UNH,UNITEDHEALTH GROUP INC,,491.82001,501.23001,493.95999,3009465.0,-0.019064,931032.0,,-0.019064,-0.007713,,0.0,0.0,0.0,459892557.40968
92655,2023-08-18,6324,UNH,UNITEDHEALTH GROUP INC,,493.5,500.94,498.44,2364508.0,0.00907,931032.0,,0.00907,-0.000149,,0.0,0.0,0.0,464063590.08
92655,2023-08-21,6324,UNH,UNITEDHEALTH GROUP INC,,496.22,500.25,497.67999,1533600.0,-0.001525,931032.0,,-0.001525,0.006879,,0.0,0.0,0.0,463355996.44968
92655,2023-08-22,6324,UNH,UNITEDHEALTH GROUP INC,,491.32999,496.79001,492.34,2079660.0,-0.01073,931032.0,,-0.01073,-0.002777,,0.0,0.0,0.0,458384294.88
92655,2023-08-23,6324,UNH,UNITEDHEALTH GROUP INC,,487.92999,494.0,489.44,2011353.0,-0.00589,931032.0,,-0.00589,0.011045,,0.0,0.0,0.0,455684302.08
92655,2023-08-24,6324,UNH,UNITEDHEALTH GROUP INC,,487.20999,495.42001,488.10001,2311263.0,-0.002738,931032.0,,-0.002738,-0.013458,,0.0,0.0,0.0,454436728.51032
92655,2023-08-25,6324,UNH,UNITEDHEALTH GROUP INC,,484.64999,491.14999,489.12,1923586.0,0.00209,931032.0,,0.00209,0.006718,,0.0,0.0,0.0,455386371.84000003
92655,2023-08-28,6324,UNH,UNITEDHEALTH GROUP INC,,489.13,493.05811,491.28,1344594.0,0.004416,931032.0,,0.004416,0.006265,,0.0,0.0,0.0,457397400.96
92655,2023-08-29,6324,UNH,UNITEDHEALTH GROUP INC,,487.97,492.94,492.82999,2113674.0,0.003155,931032.0,,0.003155,0.014508,,0.0,0.0,0.0,458840491.24968
92655,2023-08-30,6324,UNH,UNITEDHEALTH GROUP INC,,490.29001,496.70999,491.53,2283649.0,-0.002638,931032.0,,-0.002638,0.003833,,0.0,0.0,0.0,457630158.96
92655,2023-08-31,6324,UNH,UNITEDHEALTH GROUP INC,,476.29001,493.82001,476.57999,4927736.0,-0.030415,926305.0,,-0.030415,-0.001597,,0.0,0.0,0.0,441458427.63695
92655,2023-09-01,6324,UNH,UNITEDHEALTH GROUP INC,,473.35999,480.64999,476.23999,3165860.0,-0.000713,926305.0,,-0.000713,0.001799,,0.0,0.0,0.0,441143483.93694997
92655,2023-09-05,6324,UNH,UNITEDHEALTH GROUP INC,,477.54401,484.60001,480.81,3443268.0,0.009596,926305.0,,0.009596,-0.004194,,0.0,0.0,0.0,445376707.05
92655,2023-09-06,6324,UNH,UNITEDHEALTH GROUP INC,,476.375,483.16,476.94,2596242.0,-0.008049,926305.0,,-0.008049,-0.006972,,0.0,0.0,0.0,441791906.7
92655,2023-09-07,6324,UNH,UNITEDHEALTH GROUP INC,,478.60001,487.10501,484.81,2928070.0,0.016501,926305.0,,0.016501,-0.003211,,0.0,0.0,0.0,449081927.05
92655,2023-09-08,6324,UNH,UNITEDHEALTH GROUP INC,,478.75,482.97,480.76999,1858464.0,-0.004455,926305.0,,-0.008333,0.001427,,0.0,0.0,0.0,445339645.58695
92655,2023-09-11,6324,UNH,UNITEDHEALTH GROUP INC,,478.0,483.84,479.38,2059286.0,-0.002891,926305.0,,-0.002891,0.006724,,0.0,0.0,0.0,444052090.9
92655,2023-09-12,6324,UNH,UNITEDHEALTH GROUP INC,,472.12,483.64001,479.89999,2195320.0,0.001085,926305.0,,0.001085,-0.005696,,0.0,0.0,0.0,444533760.23695
92655,2023-09-13,6324,UNH,UNITEDHEALTH GROUP INC,,479.45999,484.04001,479.84,2197825.0,-0.000125,926305.0,,-0.000125,0.001242,2023-09-13,0.0,0.0,2.0,444478191.2
92655,2023-09-14,6324,UNH,UNITEDHEALTH GROUP INC,,478.7775,485.26999,483.60001,2334531.0,0.007836,926305.0,,0.007836,0.00843,,0.0,0.0,0.0,447961107.26305
92655,2023-09-15,6324,UNH,UNITEDHEALTH GROUP INC,,484.14001,489.82001,486.70001,5334308.0,0.00641,926305.0,,0.00641,-0.01216,2023-09-15,0.0,0.0,1.0,450832652.76305
92655,2023-09-18,6324,UNH,UNITEDHEALTH GROUP INC,,483.59769,488.73999,486.06,1997493.0,-0.001315,926305.0,,-0.001315,0.000721,,0.0,0.0,0.0,450239808.3
92655,2023-09-19,6324,UNH,UNITEDHEALTH GROUP INC,,476.54001,485.73001,480.66,3230987.0,-0.01111,926305.0,,-0.01111,-0.002151,,0.0,0.0,0.0,445237761.3
92655,2023-09-20,6324,UNH,UNITEDHEALTH GROUP INC,,479.14001,495.10999,492.13,3725282.0,0.023863,926305.0,,0.023863,-0.009395,,0.0,0.0,0.0,455862479.65
92655,2023-09-21,6324,UNH,UNITEDHEALTH GROUP INC,,493.07999,505.13501,501.14001,4703959.0,0.018308,926305.0,,0.018308,-0.016401,2023-09-21,0.0,0.0,1.0,464208496.96305
92655,2023-09-22,6324,UNH,UNITEDHEALTH GROUP INC,,498.03,509.4288,506.10001,4558659.0,0.009897,926305.0,,0.009897,-0.002296,,0.0,0.0,0.0,468802969.76305
92655,2023-09-25,6324,UNH,UNITEDHEALTH GROUP INC,,506.63,510.935,510.28,2758591.0,0.008259,926305.0,,0.008259,0.004023,,0.0,0.0,0.0,472674915.4
92655,2023-09-26,6324,UNH,UNITEDHEALTH GROUP INC,,504.38,509.42001,505.45001,2420166.0,-0.009465,926305.0,,-0.009465,-0.014735,,0.0,0.0,0.0,468200871.51305
92655,2023-09-27,6324,UNH,UNITEDHEALTH GROUP INC,,501.04999,506.35999,503.73001,2593742.0,-0.003403,926305.0,,-0.003403,0.000229,,0.0,0.0,0.0,466607626.91305
92655,2023-09-28,6324,UNH,UNITEDHEALTH GROUP INC,,505.01001,514.15002,510.10001,2922128.0,0.012646,926305.0,,0.012646,0.005893,,0.0,0.0,0.0,472508189.76305
92655,2023-09-29,6324,UNH,UNITEDHEALTH GROUP INC,,503.79999,509.88,504.19,3006233.0,-0.011586,926305.0,,-0.011586,-0.002709,,0.0,0.0,0.0,467033717.95
92655,2023-10-02,6324,UNH,UNITEDHEALTH GROUP INC,,503.13501,514.84003,514.57001,3550376.0,0.020587,926305.0,,0.020587,7.9e-05,,0.0,0.0,0.0,476648773.11305004
92655,2023-10-03,6324,UNH,UNITEDHEALTH GROUP INC,,508.35999,513.97998,509.47,3143403.0,-0.009911,926305.0,,-0.009911,-0.013744,,0.0,0.0,0.0,471924608.35
92655,2023-10-04,6324,UNH,UNITEDHEALTH GROUP INC,,506.60999,511.82001,510.62,2801845.0,0.002257,926305.0,,0.002257,0.00811,,0.0,0.0,0.0,472989859.1
92655,2023-10-05,6324,UNH,UNITEDHEALTH GROUP INC,,511.23001,518.21002,516.22998,2790666.0,0.010987,926305.0,,0.010987,-0.001304,2023-10-05,1.0,0.0,1.0,478186411.62389994
92655,2023-10-06,6324,UNH,UNITEDHEALTH GROUP INC,,515.97998,525.95001,524.81,3647187.0,0.016621,926305.0,,0.016621,0.011815,,0.0,0.0,0.0,486134127.04999995
92655,2023-10-09,6324,UNH,UNITEDHEALTH GROUP INC,,520.25,526.87,526.51001,2341552.0,0.003239,926305.0,,0.003239,0.006304,2023-10-09,0.0,0.0,1.0,487708854.81305
92655,2023-10-10,6324,UNH,UNITEDHEALTH GROUP INC,,523.08002,528.14001,524.23999,2455689.0,-0.004311,926305.0,,-0.004311,0.005208,,0.0,0.0,0.0,485606123.93695
92655,2023-10-11,6324,UNH,UNITEDHEALTH GROUP INC,,520.22998,525.59003,524.13,2819534.0,-0.00021,926305.0,,-0.00021,0.004293,,0.0,0.0,0.0,485504239.65
92655,2023-10-12,6324,UNH,UNITEDHEALTH GROUP INC,,522.25,528.58002,525.53998,2377335.0,0.00269,926305.0,,0.00269,-0.006246,,0.0,0.0,0.0,486810311.1739
92655,2023-10-13,6324,UNH,UNITEDHEALTH GROUP INC,,532.0,544.46002,539.40002,5245988.0,0.026373,926305.0,,0.026373,-0.005019,2023-10-13,0.0,0.0,2.0,499648935.52610004
92655,2023-10-16,6324,UNH,UNITEDHEALTH GROUP INC,,536.12,546.78003,538.03003,3827781.0,-0.00254,926305.0,,-0.00254,0.010594,,0.0,0.0,0.0,498379906.93915004
92655,2023-10-17,6324,UNH,UNITEDHEALTH GROUP INC,,534.57001,542.435,536.65002,2586106.0,-0.002565,926305.0,,-0.002565,-9.8e-05,,0.0,0.0,0.0,497101596.77610004
92655,2023-10-18,6324,UNH,UNITEDHEALTH GROUP INC,,535.39502,543.97998,536.06,2551563.0,-0.001099,926305.0,,-0.001099,-0.0134,,0.0,0.0,0.0,496555058.29999995
92655,2023-10-19,6324,UNH,UNITEDHEALTH GROUP INC,,529.25,538.34003,531.63,2351431.0,-0.008264,926305.0,,-0.008264,-0.008483,,0.0,0.0,0.0,492451527.15
92655,2023-10-20,6324,UNH,UNITEDHEALTH GROUP INC,,526.77002,534.42999,527.03003,2811061.0,-0.008653,926305.0,,-0.008653,-0.012585,,0.0,0.0,0.0,488190551.93915004
92655,2023-10-23,6324,UNH,UNITEDHEALTH GROUP INC,,520.28998,527.78003,521.57001,2357728.0,-0.01036,926305.0,,-0.01036,-0.001686,,0.0,0.0,0.0,483132908.11305004
92655,2023-10-24,6324,UNH,UNITEDHEALTH GROUP INC,,522.07001,530.66998,525.0,1978223.0,0.006576,926305.0,,0.006576,0.007266,,0.0,0.0,0.0,486310125.0
92655,2023-10-25,6324,UNH,UNITEDHEALTH GROUP INC,,520.08002,532.35999,530.21002,2380055.0,0.009924,926305.0,,0.009924,-0.01434,,0.0,0.0,0.0,491136192.5761
