EXEC_FULLNAME,CFOANN,CONAME,CEOANN,SALARY,BONUS,OTHCOMP,TOTAL_CURR,TDC1,SAL_PCT,TDC1_PCT,GVKEY,YEAR,GENDER,PAGE,TICKER,SPINDEX,Income Stability Ratio
"William S. Simon, B.A. (Econ)",,WALMART INC,,802.335,0,113.817,802.335,14054.824,,,011259,2010,MALE,65,WMT,3010,100
"Charles M. Holley, Jr.",,WALMART INC,,631.896,0,94.074,631.896,8186.163,,,011259,2010,MALE,67,WMT,3010,100
Michael Terry Duke,,WALMART INC,CEO,1264.775,0,377.258,1264.775,18131.738,2.605,-3.105,011259,2011,MALE,74,WMT,3010,100
C. Douglas McMillon,,WALMART INC,,904.521,0,190.037,904.521,10961.403,2.777,24.471,011259,2011,MALE,58,WMT,3010,100
Brian C. Cornell,,WALMART INC,,846.968,500,185.14,1346.968,5043.615,3.89,,011259,2011,MALE,64,WMT,3010,62.87959328
"William S. Simon, B.A. (Econ)",,WALMART INC,,869.732,0,184.987,869.732,8443.168,8.4,-39.927,011259,2011,MALE,65,WMT,3010,100
"Charles M. Holley, Jr.",CFO,WALMART INC,,731.598,0,178.168,731.598,5112.172,15.778,-37.551,011259,2011,MALE,67,WMT,3010,100
Neil M. Ashe,,WALMART INC,,36.996,500,0.04,536.996,11247.989,,,011259,2011,MALE,55,WMT,3010,6.889436793
Michael Terry Duke,,WALMART INC,CEO,1315.731,0,644.45,1315.731,20693.544,4.029,14.129,011259,2012,MALE,74,WMT,3010,100
C. Douglas McMillon,,WALMART INC,,929.748,0,288.458,929.748,9563.093,2.789,-12.757,011259,2012,MALE,58,WMT,3010,100
"William S. Simon, B.A. (Econ)",,WALMART INC,,899.732,0,213.615,899.732,11221.797,3.449,32.91,011259,2012,MALE,65,WMT,3010,100
"Charles M. Holley, Jr.",CFO,WALMART INC,,752.002,0,260.118,752.002,6638.67,2.789,29.86,011259,2012,MALE,67,WMT,3010,100
